window_size,stdv,alt_min,received_alg,similarity
1,0.25,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.0,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
