window_size,stdv,alt_min,received_alg,similarity
1,0.25,50, U' U U' U U' U U' U U U D D R U R' U D R R' R D R' R D R' U' U R' R D R R' R R' D' D' R R R U' U R D' D U D' B R L' B' U D R' U' U U' U L D' D U' U' D B' L B D R R' L U' D' U D' U' U' F U F' R F R' U' D U F D U U' U U' D D' U U' D F R D' R' U D' U D U U D' R F R' R D' R' D' R D' U U' R U U' R D' B U D R' U' U U' D R R D' B R D R' U D' U R B U R' U U U' D L D L' B U U' D' D' D' D' B L' F' U' U R R' D' U' D R D U L' D D' U' R L' U R' D,14
1,0.25,150, U' U U' U D D U U D D D U' D U R R' D' D' R R R U' R U D' D D' U' R L D R' U L D' D U' L D' D R R' L D' U D' F R R' D' F D U' D D' F R R' U' D' U D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',35
1,0.25,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,0.25,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,0.25,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,0.25,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,0.5,50, U' U U' U U' U U' U U U D D R U R' U D R R' R D R' R D R' U' U R' R D R R' R R' D' D' R R R U' U R D' D U D' B R L' B' U D R' U' U U' U L D' D U' U' D B' L B D R R' L U' D' U D' U' U' F U F' R F R' U' D U F D U U' U U' D D' U U' D F R D' R' U D' U D U U D' R F R' R D' R' D' R D' U U' R U U' R D' B U D R' U' U U' D R R D' B R D R' U D' U R B U R' U U U' D L D L' B U U' D' D' D' D' B L' F' U' U R R' D' U' D R D U L' D D' U' R L' U R' D,14
1,0.5,150, U' U U' U D D U U D D D U' D U R R' D' D' R R R U' R U D' D D' U' R L D R' U L D' D U' L D' D R R' L D' U D' F R R' D' F D U' D D' F R R' U' D' U D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',35
1,0.5,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,0.5,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,0.5,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,0.5,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,0.75,50, U' U U' U U' U U' U U U D D R U R' U D R R' R D R' R D R' U' U R' R D R R' R R' D' D' R R R U' U R D' D U D' B R L' B' U D R' U' U U' U L D' D U' U' D B' L B D R R' L U' D' U D' U' U' F U F' R F R' U D U F D U U' U U' D D' U U' D F R D' R' U D' U D U U D' R F R' R D' R' D' R D' R U U' R D' B D U R' U' D R R D' B R D R' D' U U R B U R' U D L D L' B U U' D' D' D' D' B L' F' U' U R R' D' U' D R D U L' D D' U' R L' U R' D,14
1,0.75,150, U' U U' U D D U U D D D U' D U R R' D' D' R R R U' R U D' D D' U' R L D R' U L D' D U' L D' D R R' L D' U D' F R R' D' F D U' D D' F R R' U' D' U D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',35
1,0.75,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,0.75,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,0.75,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,0.75,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,1.0,50, U' U U' U U' U U U D D R U R' U D R R' R D R' R D R' U' U D R R' R R' D' D' R R R U' U R D' D U D' B R L' B' U D R' U' U U' U L D' D U' U D B' L B D R R' L U' D' U D' U' U' F U F' R F R' D F D D D' U U' D F R D' R' U' D' U D U U D' R F R' R D' R' D' R D' R U U' R D' B D R' U U' D R R D' B R D R' D' R B R' U U D L D L' B U U' D' D' D' D' B L' F' U' U R R' D' U' D R D U L' D D' U' R L' U R' D,15
1,1.0,150, U' U U' U D D U U D D D U' D U R R' D' D' R R R U' R U D' D D' U' R L D R' U L D' D U' L D' D R R' L D' U D' F R R' D' F D U' D D' F R R' U' D' U D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',35
1,1.0,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,1.0,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,1.0,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,1.0,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,1.25,50, U' U U U D D R U R' U D R R' R D R' R D R' U' U D R R' R R' D' D' R R R U' R U D' D U D' B R L' B' D R' U L D' D U' U D B' L B D R R' L U' D' U D' U' U' F U F' R F R' D F D D D' D F R D' R' U' D' U D U U' D' R F R' R R' R D' R U U' R D' B D R' D R R D' B R R' R B R' U' U D L D L' B D' D' D' D' B L' F' U' U R R' D' U' D R D U L' D D' U' R L' U R' D,18
1,1.25,150, U' U D D U U D D D U' D U R R' D' D' R R R U' R U D' D D' U' R L D R' L D' U D U' L D' D R R' L D' U D' F R R' D' F D U' D D' F R R' U' D' U D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',35
1,1.25,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,1.25,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,1.25,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,1.25,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,1.5,50, U D D R U R' U D R R' R D R' R D R' U' U D R R' D' D' R R R U' R U D' D U D' B R L' B' D R' L D' D D B' L B D R R' L D' U D' F U F' R F R' D F D D D' D F R D' R' D' D D' R F R' R R' R D R R D' B D R' D R R D' B R R' R B R' D L D L' B D' D' D' D' B L' F' U' U R R' D' D R D L' D D' U' R L' U R' D,17
1,1.5,150, U D D U U D D D U' D U' D' D' R R R U' R U D' D D' U' R L D R' L D' D L D' D R R' L D' U D' F R R' D' F D D U' D' F R R' D' D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',38
1,1.5,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,1.5,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,1.5,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,1.5,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,1.75,50, U D D R U R' D R R' R D R' U R D R' U' D R R' U' D' D' R R R U' R D' D D' B R B' L D R' L D' D D B' L B D R R' L D' D' F F' R F R' D F D D D' F R R' D' D D' R F R' R D R R D' B D R' D R R D' B R R' R B R' D L D L' B D' D' D' D' B L' F' U' U R R' D' D R D L' D D' U' R L' U R' D,24
1,1.75,150, U D D U D D D U U' D U' D' D' R R R U R D' D D' R L D R' L D' D L D' D R R' L D' D' F R R' D' F D D D' F R R' D' D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R' L',39
1,1.75,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,1.75,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,1.75,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,1.75,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,2.0,50, U D D R U R' D R R' D R D D R' U' D' D' R R R U' R D' D D' B R B' L D R' L D' D D B' L B D R R' L D' D' R F R' D F D D D' F R R' D' D D' R F R' D R R R D' B R' D D R R D' B R R' R B R' D D B D' D' D' D' B L' F' U' U R R' D' R D D' U' R U R' D,17
1,2.0,150, U D D U D D D D U' D' D' R R R U R D' D D' R L D R' L D' D L D' D R R' L D' D' F R R' D' F D D D' F R R' D' D F D D R' R B R R' D R R B D' B R R' B D' D F' B' R',36
1,2.0,250, U D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',55
1,2.0,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,2.0,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,2.0,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,2.25,50, U D D R R' U D R R' D R D D D' D' U R R U' R D' D D' B R B' L D R' L D' D D L D R R' L D' D' R F R' D F D D D' F R R' D' D D' R' F R' D' R R R B R' D R R' D' B R R' R B R' D D B D' D' D' D' B L' F' R R' D' R D D' U' R U R' D,20
1,2.25,150, U D D U D D D D D' D' R R R R D' D D' R L D R' L D' D L D' D R R' L D' D' F R R' D' F D D D' F R R' D' D F R' R B R R' D R B R' D' B R R' B D' D F' B' R',39
1,2.25,250, U' D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L D' D' F F F D' D F R R B R R' D R B R' D' B B B' R',54
1,2.25,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,2.25,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,2.25,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,2.5,50, U D D R R' U D R R' D R D D D' D' U R R U' R D' D D' B R B' L D R' L D' D D L D R R' L R F R' D F D D D' F R R' D' D D' R' F R' D' R R R B R' D R R' D' B R R' R B R' D D B D' D' D' D' B F R R' R D' D D' U' R L' U R' D,20
1,2.5,150, U' D D U D D D D D' D' R R R R D' D D' R L D R' L D' D L D' D R R' L F R R' D' F D D D' F R R' D' D F R' R B R R' D R B R' D' B R R' B D' D B' R' F',43
1,2.5,250, U' D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L F F F D' D F R R B R R' D R B R' D' B B B' R',57
1,2.5,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,2.5,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,2.5,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,2.75,50, U D D R R' U R D D D D D' D' U R R U' R D' D D' R L D R' L D' D D L D' R R' L R F R' D F D F R R' D' D D' F D' R R R B R' D R R' B R R' D' R B R' D D B D' D' D' D' B F R R' R D' D D' U' R U R' D,27
1,2.75,150, D D U D D D D D' D' R R R R D' D D' R L D R' L D' D L R R' L F R R' D' F D F R R' D' D F R' R B R R' D R B R' D' B R R' B D' D B' R' F',45
1,2.75,250, D D U D D D D D' D' R R R R D' D D' D L L D' D L R R' L F F F D' D F R R B R R' D R B R' D' B B B' R',56
1,2.75,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,2.75,450, D D' D D R R R R L L L L F F F F R R B B B B,87
1,2.75,550, D D' D D' R R R R L L L L F F F F B B B B,90
1,3.0,50, U D D U R D D D D D' D' R R R D' D D' R L R' D L D' D D L D' R R' L R F R' D' F D F R R' D' D D' F D' R R R B R' D B R R' D' R B R' D D B D' D' D' D' B F R R' D' R' D D' U' R U R' D,33
1,3.0,150, D D U D D D D D' D' R R R R D' D D' R L R' D L D' D L R R' L F R R' D' F D F R R' D' D F R' R B R R' D B D' B R R' B D' D B',48
1,3.0,250, D D U D D D D D' D' R R R R D' D D' L D L D' D L R R' L F F F D' D F R R B R R' D B D' B B B',58
1,3.0,350, D D U D D D D D D' R R R R D' D L L D' D L R R' L F F F D' D F R R B B B B B',69
1,3.0,450, D D' D D R R R R L L L L F F F F R R B B B B,87
