window_size,stdv,alt_min,received_alg,similarity
1,0.25,50, U' D' D D' U D R D' R' U D D' D R U D' R' D U R D' R' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L U F U' F F R R' D F U R U' D' R' B U D R U' D' R' U D B U' D' U B R R' U' U B R U' D R' D',32
1,0.25,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F R R' F R R' B R R' B B R U R' U' B R R',51
1,0.25,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,50, U' D' D D' U D R D' R' U D D' D R U D' R' D U R D' R' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L U F U' F F R R' D F U R U' R' D' B U D R U' D' R' U D B U' D' U B R R' U' U B R U' D R' D',32
1,0.5,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F R R' F R R' B R R' B B R U R' U' B R R',51
1,0.5,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,0.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,50, U' D' D D' U D R D' R' U D D' D R U D' R' D U R D' R' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L U F U' F F R R' D F U R U' R' D' B U R U' R' U B U' U B R R' U' U B R U' R',33
1,0.75,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F R R' F R R' B R R' B B R U R' U' B R R',51
1,0.75,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,0.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,0.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,50, D' D D' U D R D' R' U D D' D R U D' R' D U R D' R' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L U F U' F F R R' D F U R U' R' D' B R R' B U B R R' B R R' U',35
1,1.0,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F R R' F R R' B R R' B B R R' B R R',53
1,1.0,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,1.0,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.0,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,50, D' D D' U D R D' R' U D D' D R U D' D R' U R R' D' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L F F F R R' D F R R' D' B R R' B B R R' B R R',39
1,1.25,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F R R' F R R' B R R' B B R R' B R R',53
1,1.25,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,1.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,50, D' D D' D R U D' R' U D D' D R U D' D R' U R R' D' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L D L D' D L D' L F F F R R' D F R R' D' B R R' B B R R' B R R',39
1,1.5,150, D D' D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L D L D' D L D' L F F F F R R' B R R' B B R R' B R R',56
1,1.5,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,1.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,50, D R U D' R' U D D' D R U D' D R' U R R' D' D R R' D R R' D R R' D R R' D R D' D R D' D D' R D D' R L L D L D' L F F F R R' D F D' B B B R R' B R R',46
1,1.75,150, D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L L D L D' L F F F F B B B R R' B R R',65
1,1.75,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,1.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
1,1.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.0,50, D R U D' R' U D D' D U D' D U R R' D' D R R' D R R' D R R' D R R' D R D' D R D' R R L L L L F F F R R' D F D' B B B B R R',53
1,2.0,150, D R U D' R' U U U D R R' D' D R R' D D R R' D R R' R R R R L L L L F F F F B B B B R R',70
1,2.0,250, R U R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.25,50, R R' U U D U D' U D R R' D D R R' D R R' D R D' D R D' R R L L L L F F F R R' F B B B B,67
1,2.25,150, R R' U U U U D R R' D D R R' D R R' R R R R L L L L F F F F B B B B,80
1,2.25,250, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.25,350, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.25,450, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.25,550, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.5,50, R R' U U D U D' U D D D R R' D R R' R R R R L L L L F F F F B B B B,80
1,2.5,150, R R' U U U U D D D R R' D R R' R R R R L L L L F F F F B B B B,85
1,2.5,250, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.5,350, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.5,450, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.5,550, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.75,50, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.75,150, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.75,250, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,2.75,350, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.75,450, U U U D D D D R R R R L L L L F F F F B B B B,99
1,2.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
1,3.0,50, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,3.0,150, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,3.0,250, R R' U U U D D D D R R R R L L L L F F F F B B B B,94
1,3.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
1,3.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
1,3.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.25,50, U' D' U U U D U D' D D D D R R R R L L L L F F F R R' D F D' B B U B U' B,76
2,0.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.5,50, U' D' U U U D U D' D D D D R R R R L L L L F F F R R' D F D' B B U B U' B,76
2,0.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.75,50, U' D' U U U D U D' D D D D R R R R L L L L F F F R R' D F D' B B U B U' B,76
2,0.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,0.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.0,50, D' U U U D U D' D D D D R R R R L L L L F F F R R' F B B B B,85
2,1.0,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.0,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.0,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.0,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.0,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.25,50, D' U U U D U D' D D D D R R R R L L L L F F F R R' F B B B B,85
2,1.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.5,50, D' U U U D U D' D D D D R R R R L L L L F F F F B B B B,89
2,1.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.75,50, U U U D U D' D D D D R R R R L L L L F F F F B B B B,92
2,1.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.75,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,1.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.0,50, U U U D U D' D D D D R R R R L L L L F F F F B B B B,92
2,2.0,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.0,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,250, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,350, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.25,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,50, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,250, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,350, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.5,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,50, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,150, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,250, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,350, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,2.75,550, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,50, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,150, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,250, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,350, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,450, U U U D D D D R R R R L L L L F F F F B B B B,99
2,3.0,550, U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.25,50, U' D' U U U U D D D D R R R R L L L L F F F F B B B B,93
3,0.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.5,50, U' D' U U U U D D D D R R R R L L L L F F F F B B B B,93
3,0.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.75,50, U' D' U U U U D D D D R R R R L L L L F F F F B B B B,93
3,0.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,0.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,1.0,50, D' U U U U D D D D R R R R L L L L F F F F B B B B,96
3,1.0,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,1.0,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
3,1.0,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
